id_ideogram,name_lsm,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,axis,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20,seg21,seg22,seg23,seg24,seg25,seg26,seg27,seg28,seg29,seg30,seg31,seg32
,j,2.11611768282344,2.24647535288902,4.25030552909206,7.24556427433893,10.0458430485798,7.02524502066544,3.5233163880959,4.1156517921283,x,-0.2808880575,-0.2830254825,-0.2872662425,-0.28799743625,-0.2900799675,-0.28989134875,-0.2914361275,-0.29185795,-0.29228824625,-0.29220581375,-0.29314632,-0.292325475,-0.290990035,-0.29060061625,-0.2905243,-0.29058165625,-0.29112613375,-0.29171327375,-0.29169129625,-0.2924682725,-0.29194946375,-0.29062319375,-0.28646972375,-0.2781207175,-0.2730798359875,-0.2494299515125,-0.20106019525,-0.0372552604875,0.3358148487375,0.7130902675,0.60897525375,0.224737573
,j,2.11611768282344,2.24647535288902,4.25030552909206,7.24556427433893,10.0458430485798,7.02524502066544,3.5233163880959,4.1156517921283,y,-0.84682859625,-0.8404120075,-0.8439739775,-0.84225641,-0.8421886875,-0.84164065,-0.8417541525,-0.84223692125,-0.8435034525,-0.84419500125,-0.84348573875,-0.84295890375,-0.84244016875,-0.84341614875,-0.843322795,-0.84156313,-0.84197635,-0.84145142,-0.84083553625,-0.84158147125,-0.83931278875,-0.836709615,-0.84331973,-0.8421417275,-0.8351996325,-0.8425061375,-0.81923830875,-0.76632018625,-0.833317255,-0.81007633,-0.85481939875,-0.49733157125
,j,2.11611768282344,2.24647535288902,4.25030552909206,7.24556427433893,10.0458430485798,7.02524502066544,3.5233163880959,4.1156517921283,z,0.46983461625,0.46820621125,0.472203975,0.470899665,0.47074217375,0.47003540625,0.46931642875,0.4684588975,0.46765689,0.46709291375,0.467337055,0.4680237475,0.46775149625,0.46858036625,0.46895207375,0.469078395,0.4705383325,0.47058532875,0.46979067875,0.4722192625,0.47196962,0.47118895625,0.4748962675,0.47836547375,0.46904666,0.47512818625,0.45041626125,0.37531250125,0.3912243775,0.3560223325,0.36146428,0.22953066875
,i,2.04245336860498,1.84812276398462,4.23818787508433,9.44402336662546,7.3382229139318,5.29376446993773,2.97480280190487,5.31075928086199,x,-0.116841534714286,-0.115904708285714,-0.114053460714286,-0.115108817142857,-0.113226842,-0.110336919142857,-0.113510045,-0.113579113571429,-0.116093062,-0.11296111,-0.113354520857143,-0.111073555,-0.107802784857143,-0.107502830428571,-0.106836593571429,-0.110192505571429,-0.106171896857143,-0.109450375285714,-0.107279622428571,-0.106819178228571,-0.105567114314286,-0.103677472028571,-0.106041495142857,-0.110754078142857,-0.109056231285714,-0.103602137142857,-0.111127256428571,-0.113005051142857,-0.116932219285714,-0.118766727428571,-0.118108939285714,-0.0645242661428571
,i,2.04245336860498,1.84812276398462,4.23818787508433,9.44402336662546,7.3382229139318,5.29376446993773,2.97480280190487,5.31075928086199,y,-0.878346818571429,-0.880484098571429,-0.880728291428571,-0.882131711428571,-0.882446965714286,-0.881298797142857,-0.883156357142857,-0.880273475714286,-0.881720902857143,-0.881962927142857,-0.883348208571429,-0.877424684285714,-0.880253258571429,-0.879128115714286,-0.87700747,-0.880124161428571,-0.88204798,-0.879489438571429,-0.879273882857143,-0.878650258571429,-0.878522575714286,-0.877912974285714,-0.873115222857143,-0.87963103,-0.88564037,-0.88197337,-0.87725447,-0.878169651428572,-0.879224345714286,-0.877619315714286,-0.877546785714286,-0.504135768571429
,i,2.04245336860498,1.84812276398462,4.23818787508433,9.44402336662546,7.3382229139318,5.29376446993773,2.97480280190487,5.31075928086199,z,0.478005048571429,0.476679085714286,0.474905168571429,0.475518325714286,0.474935838571429,0.47314381,0.475025135714286,0.473092881428571,0.472676502857143,0.474096714285714,0.476415305714286,0.477362607142857,0.48281527,0.481901415714286,0.482575362857143,0.483837215714286,0.479976972857143,0.48013254,0.480399038571429,0.482845325714286,0.483770924285714,0.483325252857143,0.481963622857143,0.478673294285714,0.480029302857143,0.477274041428571,0.479116905714286,0.480154098571428,0.481586857142857,0.480052295714286,0.479541767142857,0.276197708571429
,t,2.14611373080501,4.80397090697477,5.38958983548572,8.49803076523274,6.69900442235978,5.30688993391945,3.42664749961147,2.48846604265082,x,-0.215756095571429,-0.219424541428571,-0.226714565714286,-0.235271384285714,-0.244652657142857,-0.247286535714286,-0.252972225714286,-0.261028247142857,-0.246956625714286,-0.234296154285714,-0.23091101,-0.222531469142857,-0.203162682714286,-0.214392505285714,-0.230316698571429,-0.231287701428571,-0.211219314285714,-0.208041335714286,-0.216186482857143,-0.211227684285714,-0.210710777142857,-0.20873816,-0.208079695714286,-0.207119181428571,-0.208502412857143,-0.21117334,-0.2125252,-0.213309202857143,-0.214972138571429,-0.215411605714286,-0.215630628571429,-0.123984372857143
,t,2.14611373080501,4.80397090697477,5.38958983548572,8.49803076523274,6.69900442235978,5.30688993391945,3.42664749961147,2.48846604265082,y,-0.88829664,-0.887820927142857,-0.885831502857143,-0.876255615714286,-0.872922742857143,-0.869676387142857,-0.869234818571429,-0.865691967142857,-0.849063927142857,-0.864826978571429,-0.896765408571429,-0.867894837142857,-0.854266191428571,-0.871044245714286,-0.87658977,-0.871985221428572,-0.875868417142857,-0.881419481428571,-0.886017047142857,-0.885076022857143,-0.885386422857143,-0.882696701428571,-0.880523894285714,-0.879460141428571,-0.879312934285714,-0.879365231428571,-0.880536402857143,-0.879799125714286,-0.8802616,-0.880055165714286,-0.879125982857143,-0.502034732857143
,t,2.14611373080501,4.80397090697477,5.38958983548572,8.49803076523274,6.69900442235978,5.30688993391945,3.42664749961147,2.48846604265082,z,0.42999584,0.432341688571429,0.432786742857143,0.434907932857143,0.435692657142857,0.438871361428571,0.447228702857143,0.467961074285714,0.453030794285714,0.472095415714286,0.47992045,0.450550364285714,0.442433068571429,0.451486464285714,0.446382555714286,0.455388538571429,0.449185967142857,0.431983162857143,0.439611465714286,0.443004332857143,0.443893041428571,0.445465277142857,0.44608397,0.44883372,0.450649428571429,0.448959322857143,0.449089047142857,0.44732774,0.447679332857143,0.448438188571429,0.447958945714286,0.256383947142857
,u,2.46322997258932,3.79752309691516,5.88776150582682,12.5678752533609,8.63824101681996,4.88887467114141,4.45656213801588,4.89980407989248,x,0.0931049345444444,0.0947428410777778,0.103312657133333,0.0754757818888889,0.0262331805444444,-0.0242073613666667,-0.0345220331711111,-0.0392383020288889,-0.0403580913666667,-0.0375038156222222,-0.0395817216,-0.0373041449666667,-0.0304166646222222,-0.0230821279666667,-0.0200162676444444,-0.0228868181744444,-0.0222276432477778,-0.0211810933544444,-0.0220117160955556,-0.0240239701388889,-0.0246137129888889,-0.0230045504111111,-0.0220583817333333,-0.0215668217711111,-0.0235215875522222,-0.0231125215877778,-0.0236735270666667,-0.0212120296944444,-0.0244292686888889,-0.0245063008311111,-0.0262397087022222,-0.0166379128277778
